tag             min_meta_client     min_meta_server     
0.8.104         0.7.59              0.8.35              
0.8.105         0.7.59              0.8.35              
0.8.106         0.7.59              0.8.35              
0.8.107         0.7.59              0.8.35              
0.8.108         0.7.59              0.8.35              
0.8.109         0.7.59              0.8.35              
0.8.110         0.7.59              0.8.35              
0.8.111         0.7.59              0.8.35              
0.8.112         0.7.59              0.8.35              
0.8.113         0.7.59              0.8.35              
0.8.114         0.7.59              0.8.35              
0.8.115         0.7.59              0.8.35              
0.8.116         0.7.59              0.8.35              
0.8.117         0.7.59              0.8.35              
0.8.118         0.7.59              0.8.35              
0.8.119         0.7.59              0.8.35              
0.8.120         0.7.59              0.8.35              
0.8.121         0.7.59              0.8.35              
0.8.122         0.7.59              0.8.35              
0.8.123         0.7.59              0.8.35              
0.8.124         0.7.59              0.8.35              
0.8.125         0.7.59              0.8.35              
0.8.126         0.7.59              0.8.35              
0.8.127         0.7.59              0.8.35              
0.8.128         0.7.59              0.8.35              
0.8.129         0.7.59              0.8.35              
0.8.130         0.7.59              0.8.35              
0.8.131         0.7.59              0.8.35              
0.8.132         0.7.59              0.8.35              
0.8.133         0.7.59              0.8.35              
0.8.134         0.7.59              0.8.35              
0.8.135         0.7.59              0.8.35              
0.8.136         0.7.59              0.8.35              
0.8.137         0.7.59              0.8.35              
0.8.138         0.7.59              0.8.35              
0.8.139         0.7.59              0.8.35              
0.8.140         0.7.59              0.8.35              
0.8.141         0.7.59              0.8.35              
0.8.142         0.7.59              0.8.35              
0.8.143         0.7.59              0.8.35              
0.8.144         0.7.59              0.8.35              
0.8.145         0.7.59              0.8.35              
0.8.146         0.7.59              0.8.35              
0.8.147         0.7.59              0.8.35              
0.8.148         0.7.59              0.8.35              
0.8.149         0.7.59              0.8.35              
0.8.150         0.7.59              0.8.35              
0.8.151         0.7.59              0.8.35              
0.8.152         0.7.59              0.8.35              
0.8.153         0.7.59              0.8.35              
0.8.154         0.7.59              0.8.35              
0.8.155         0.7.59              0.8.35              
0.8.156         0.7.59              0.8.35              
0.8.157         0.7.59              0.8.35              
0.8.158         0.7.59              0.8.35              
0.8.159         0.7.59              0.8.35              
0.8.160         0.7.59              0.8.35              
0.8.161         0.7.59              0.8.35              
0.8.162         0.7.59              0.8.35              
0.8.163         0.7.59              0.8.35              
0.8.164         0.7.59              0.8.35              
0.8.165         0.7.59              0.8.35              
0.8.166         0.7.59              0.8.35              
0.8.167         0.7.59              0.8.35              
